1	1	1	24	1
2	1	1	25	1
3	1	1	20	1
4	1	1	15	1
5	1	1	-14	2
6	1	1	1500	2
7	1	1	25	2
8	1	1	-8	2
9	1	1	-9	2
10	1	1	10	2
11	1	1	5	2
12	1	1	4	2
13	1	1	300	2
14	1	1	-25	2
15	1	1	20	2
16	1	1	15	2
17	1	1	-19	2
18	1	1	-14	2
19	1	1	-18	2
20	1	1	-17	2
21	1	1	2200	2
22	1	1	23	2
23	1	1	2200	2
24	1	1	2300	1
25	1	1	-24	1
26	1	1	-25	1
27	1	1	9	1
28	1	1	4	1
29	1	1	10	1
30	1	1	5	1
31	1	1	3	1
32	1	1	7	1
33	1	1	2200	1
34	1	1	17	1
35	1	1	12	1
36	1	1	-7	1
37	1	1	2	1
38	1	1	-24	1
39	1	1	19	1
40	1	1	14	1
41	1	1	13	1
42	1	1	8	1
43	1	1	-7	1
44	1	1	6	1
45	1	1	1	1
46	1	1	1600	1
47	1	1	11	1
48	1	1	2100	1
49	1	1	16	1
50	1	1	21	1
51	1	1	22	1
52	1	1	-21	1
53	1	1	-22	1
54	1	1	-24	1
55	1	1	-25	1
56	1	1	-15	1
57	1	1	-8	1
58	1	1	-3	1
59	1	1	-4	1
60	1	1	-18	2
61	1	1	-19	2
62	1	1	-9	2
63	1	1	-7	2
64	1	1	-16	2
65	1	1	11	2
66	1	1	-10	2
67	1	1	-5	2
68	1	1	-4	2
69	1	1	0	0
70	1	1	0	0
71	1	1	0	0
72	1	1	0	0
73	1	1	0	0
74	1	1	0	0
75	1	1	0	0
76	1	1	0	0
77	1	1	0	0
78	1	1	0	0
79	1	1	0	0
80	1	1	0	0
81	1	1	0	0
82	1	1	0	0
83	1	1	0	0
84	1	1	0	0
85	1	1	0	0
86	1	1	0	0
87	1	1	0	0
88	1	1	0	0
89	1	1	0	0
90	1	1	0	0
91	1	1	0	0
92	1	1	0	0
93	1	1	0	0
94	1	1	0	0
95	1	1	0	0
96	1	1	0	0
97	1	1	0	0
98	1	1	0	0
99	1	1	0	0
100	1	1	0	0
101	1	1	0	0
102	1	1	0	0
103	1	1	0	0
104	1	1	0	0
105	1	1	0	0
106	1	1	0	0
107	1	1	0	0
108	1	1	0	0
109	1	1	0	0
110	1	1	0	0
111	1	1	0	0
112	1	1	0	0
113	1	1	0	0
114	1	1	0	0
115	1	1	0	0
116	1	1	0	0
117	1	1	0	0
118	1	1	0	0
119	1	1	0	0
120	1	1	0	0
121	1	1	0	0
122	1	1	0	0
123	1	1	0	0
124	1	1	0	0
125	1	1	0	0
126	1	1	0	0
127	1	1	0	0
128	1	1	0	0
129	1	1	0	0
130	1	1	0	0
131	1	1	0	0
132	1	1	0	0
133	1	1	0	0
134	1	1	0	0
135	1	1	0	0
136	1	1	0	0
137	1	1	0	0
138	1	1	0	0
139	1	1	0	0
140	1	1	0	0
141	1	1	0	0
142	1	1	0	0
143	1	1	0	0
144	1	1	0	0
145	1	1	0	0
146	1	1	0	0
147	1	1	0	0
148	1	1	0	0
149	1	1	0	0
150	1	1	0	0
151	1	1	0	0
152	1	1	0	0
153	1	1	0	0
154	1	1	0	0
155	1	1	0	0
156	1	1	0	0
157	1	1	0	0
158	1	1	0	0
159	1	1	0	0
160	1	1	0	0
161	1	1	0	0
162	1	1	0	0
163	1	1	0	0
164	1	1	0	0
165	1	1	0	0
166	1	1	0	0
167	1	1	0	0
168	1	1	0	0
169	1	1	0	0
170	1	1	0	0
171	1	1	0	0
172	1	1	0	0
173	1	1	0	0
174	1	1	0	0
175	1	1	0	0
176	1	1	0	0
177	1	1	0	0
178	1	1	0	0
179	1	1	0	0
180	1	1	0	0
181	1	1	0	0
182	1	1	0	0
183	1	1	0	0
184	1	1	0	0
185	1	1	0	0
186	1	1	0	0
187	1	1	0	0
188	1	1	0	0
189	1	1	0	0
190	1	1	0	0
191	1	1	0	0
192	1	1	0	0
193	1	1	0	0
194	1	1	0	0
195	1	1	0	0
196	1	1	0	0
197	1	1	0	0
198	1	1	0	0
199	1	1	0	0
200	1	1	0	0
1	1	2	20	1
2	1	2	15	1
3	1	2	10	1
4	1	2	400	1
5	1	2	2200	1
6	1	2	1200	1
7	1	2	13	1
8	1	2	24	1
9	1	2	-20	1
10	1	2	25	1
11	1	2	-24	1
12	1	2	19	1
13	1	2	18	1
14	1	2	23	1
15	1	2	8	1
16	1	2	24	2
17	1	2	25	2
18	1	2	20	2
19	1	2	15	2
20	1	2	10	2
21	1	2	-10	2
22	1	2	5	2
23	1	2	4	2
24	1	2	3	2
25	1	2	2	2
26	1	2	-7	2
27	1	2	-8	2
28	1	2	-13	2
29	1	2	-18	2
30	1	2	23	2
31	1	2	22	2
32	1	2	21	2
33	1	2	16	2
34	1	2	11	2
35	1	2	6	2
36	1	2	1	2
37	1	2	-7	2
38	1	2	-8	2
39	1	2	-18	2
40	1	2	-12	2
41	1	2	-17	2
42	1	2	-22	2
43	1	2	-16	2
44	1	2	-11	2
45	1	2	-14	2
46	1	2	-15	2
47	1	2	-10	2
48	1	2	-5	2
49	1	2	-4	2
50	1	2	-3	2
51	1	2	-20	2
52	1	2	-25	2
53	1	2	-23	1
54	1	2	-24	1
55	1	2	-25	1
56	1	2	-15	1
57	1	2	9	1
58	1	2	4	1
59	1	2	500	1
60	1	2	-4	1
61	1	2	5	1
62	1	2	1700	1
63	1	2	-18	1
64	1	2	17	1
65	1	2	1200	1
66	1	2	700	1
67	1	2	600	1
68	1	2	1200	1
69	1	2	-13	1
70	1	2	-18	1
71	1	2	-23	1
72	1	2	-19	1
73	1	2	2200	1
74	1	2	21	1
75	1	2	-21	1
76	1	2	1600	1
77	1	2	11	1
78	1	2	16	1
79	1	2	-16	1
80	1	2	-11	1
81	1	2	600	1
82	1	2	100	1
83	1	2	7	1
84	1	2	600	1
85	1	2	-7	1
86	1	2	12	1
87	1	2	22	1
88	1	2	-11	1
89	1	2	6	1
90	1	2	-11	1
91	1	2	-12	1
92	1	2	-13	1
93	1	2	-18	1
94	1	2	-22	1
95	1	2	-19	1
96	1	2	14	1
97	1	2	-9	1
98	1	2	-10	1
99	1	2	-15	1
100	1	2	-20	1
101	1	2	-7	1
102	1	2	-8	1
103	1	2	3	1
104	1	2	200	1
105	1	2	100	1
106	1	2	-11	1
107	1	2	100	1
108	1	2	-9	1
109	1	2	-8	1
110	1	2	1	1
111	1	2	999	1
